id,nickname,note_id,content
1547,艾瑞丝梦游仙境✨,64edc884000000001e00ff3f,米米米
1548,momo,64edc884000000001e00ff3f,宝贝耳饰项链包括咩～
1549,苹果小面包,64edc884000000001e00ff3f,好美@阿游奇幻事件簿
1550,1228,64edc884000000001e00ff3f,觉得拍到好好看哦[笑哭R]
1551,AbsoluteThai Costume,64edc884000000001e00ff3f,thank you [飞吻R]
1552,Jason.kang,64edc884000000001e00ff3f,太美了吧[飞吻R]
1553,小王什么时候到95,64edc884000000001e00ff3f,同款打卡点
1554,🎀HingWing,64edc884000000001e00ff3f,@10
1555,Joanne Zhou,64edc884000000001e00ff3f,哪一家？
1556,coconut,64edc884000000001e00ff3f,@王总在旅行
1557,布灵布丁,64edc884000000001e00ff3f,@zakiiii
1558,吃坚果的大鲨鱼,64edc884000000001e00ff3f,@yybb
1559,💫草云人,64d0a48a000000000c0361a2,有缘刷到， 和你同一家租衣服， 摄影师我也是他们家的。 一个人500 baht， 包衣服包拍摄 ✨推荐
1560,敏而好学,64d0a48a000000000c0361a2,我去的虽然小小但是有空调
1561,蛋黄,64d0a48a000000000c0361a2,为什么没租泰服不能露肩？？泰服也露肩了啊[汗颜R][汗颜R]
1562,奶油米,64d0a48a000000000c0361a2,我25號去。 但是擔心grab 不到車。 [笑哭R]
1563,艾姑娘,64d0a48a000000000c0361a2,请问需要预约吗？
1564,海棠糖糖 . 💜,64d0a48a000000000c0361a2,请问rm19是有包化妆嘛？[偷笑R]
1565,依依,64d0a48a000000000c0361a2,请问有店名吗？
1566,喵喵丽丝 ✨,64d0a48a000000000c0361a2,姐妹选的泰服好好看[萌萌哒R]我也是才去不久
1567,KAVIS NG,64d0a48a000000000c0361a2,同一间4号去的～男朋友拍的
1568,娜娜🐟（看Bio别看ID）,64d0a48a000000000c0361a2,所以我想知道 比较肥胖的我有没有机会穿 [笑哭R] 怕去到了只能吃瘪[笑哭R] 只是怕只能看别人拍的份[哭惹R]
1569,带我去玩🌷,64d0a48a000000000c0361a2,哇！包摄影500baht很值得了[色色R]好看~有兴趣找摄影师的可以冲[笑哭R]物超所值[偷笑R]
1570,99后的小姐姐__JQ💕,64d0a48a000000000c0361a2,摄影师需要提前预约吗？
1571,带我去玩🌷,64d0a48a000000000c0361a2,不需要哦 当天直接问也有 [赞R]
1572,埃尔娃Elva,64d0a48a000000000c0361a2,求推荐摄影师
1573,99后的小姐姐__JQ💕,64d0a48a000000000c0361a2,👌🏻谢谢[萌萌哒R]
1574,无时无刻都想旅行的肥仔,64d0a48a000000000c0361a2,这价格真是爱了爱了，有木有微信摄影师？
1575,Dan,64d0a48a000000000c0361a2,這麼便宜嗎[哭惹R]拍多久啊
1576,涵涵子,64d0a48a000000000c0361a2,求推荐
1577,爱吃黑巧的蝎子🦂,64d0a48a000000000c0361a2,pm摄影师
1578,带我去玩🌷,64d0a48a000000000c0361a2,可以直接到那边询问哦 [赞R]
1579,爱吃黑巧的蝎子🦂,64d0a48a000000000c0361a2,好的👌
1580,momo,64d0a48a000000000c0361a2,太好看了
1581,zu-dumm,64d0a48a000000000c0361a2,摄影师是拿他自己的相机给你拍吗？包不包P图？
1582,叫我谢姐姐,64d0a48a000000000c0361a2,求介绍
1583,依依,64d0a48a000000000c0361a2,请问那边有化妆师帮忙化妆吗？[萌萌哒R]
1584,带我去玩🌷,64d0a48a000000000c0361a2,可以直接到那边询问哦 [赞R]
1585,带我去玩🌷,64d0a48a000000000c0361a2,可以直接到那边询问哦 [赞R]
1586,带我去玩🌷,64d0a48a000000000c0361a2,不确定 可以去那边看哦
1587,#NAME?,64d0a48a000000000c0361a2,一个人500泰铢摄影➕衣服吗
1588,Mei,64d0a48a000000000c0361a2,那家？想要个地址过去看看？
1589,贝贝,64d0a48a000000000c0361a2,摄影师需要提前预约吗？请问怎么找到这位摄影师呢谢谢
1590,Hilda,64d0a48a000000000c0361a2,Pm攝影師連絡方式[飞吻R]
1591,小晴人,64d0a48a000000000c0361a2,好值得.请问在哪一间店？几点开？
1592,Ella,64d0a48a000000000c0361a2,请问是哪一家，需要还价吗？
1593,小海鸥👼,64d0a48a000000000c0361a2,怎么把照片给你的呀！500泰铢全包，几张照片呀
1594,💫草云人,64d0a48a000000000c0361a2,该评论已丢失
1595,Jerry,64d0a48a000000000c0361a2,请问包化妆么？
1596,Kary Chan,64d0a48a000000000c0361a2,那间？ pm
1597,💫草云人,64d0a48a000000000c0361a2,看评论我已经放了ig
1598,💫草云人,64d0a48a000000000c0361a2,不包
1599,可乐姐姐,64d0a48a000000000c0361a2,[害羞R]同求
1600,🦄甯,64d0a48a000000000c0361a2,想了解攝影師謝謝🙏🏻
1601,ttian,64d0a48a000000000c0361a2,姐妹 是哪家呀 求推荐
1602,Tammy 🐳,64d0a48a000000000c0361a2,请问这家有化妆吗？化妆多少钱
1603,卉飞起来,64d0a48a000000000c0361a2,1个摄影师可以拍4人吗也是1对1
1604,June14,64d0a48a000000000c0361a2,哪里可以联系上
1605,豆丁醬,64d0a48a000000000c0361a2,想问问[皱眉R]这位摄影师什么价格
1606,贝贝,64d0a48a000000000c0361a2,摄影师需要提前预约吗？请问怎么找到这位摄影师呢谢谢
1607,带我去玩🌷,64d0a48a000000000c0361a2,看起来不错了 价钱多少呢？
1608,敏而好学,64d0a48a000000000c0361a2,200🐷
1609,蝦,64d0a48a000000000c0361a2,想知道哪間！
1610,敏而好学,64d0a48a000000000c0361a2,该评论已丢失
1611,kristy🔮,64d0a48a000000000c0361a2,也是200全包嗎
1612,xy,64d0a48a000000000c0361a2,不好意思想请问你的是全包吗 服装发饰饰品 和化妆[色色R]
1613,敏而好学,64d0a48a000000000c0361a2,不包化妆 有化妆的话是300
1614,xy,64d0a48a000000000c0361a2,哇哦好哦谢谢你啊太感激了
1615,带我去玩🌷,64d0a48a000000000c0361a2,我也同问 [笑哭R]
1616,蛋黄,64d0a48a000000000c0361a2,还很开心去买了个露肩连身裙打算去那边拍照[哭惹R][哭惹R]
1617,云与海,64d0a48a000000000c0361a2,我也想问，泰服不就露肩吗
1618,瑞瑞沒問題啦,64d0a48a000000000c0361a2,那是他們自己傳統文化的東西 跟一般的露肩小裙子不同吧！尊重他國文化～
1619,小红薯60FC5A81,64d0a48a000000000c0361a2,只说不让穿吊带，那种两个肩膀和胸口都露出来的衣服
1620,带我去玩🌷,64d0a48a000000000c0361a2,我用 indriver 还是蛮好叫车的 而且价钱可以自己写！合理！ 也便宜[偷笑R]
1621,💫草云人,64d0a48a000000000c0361a2,用indrive ， 比grab便宜很多 。 近期去三次bkk 都是用indrive 。 价格便宜很多
1622,wiwi,64d0a48a000000000c0361a2,Grab尖峰時段不好叫～上個月去了泰國心還在泰國[哭惹R]
1623,奶油米,64d0a48a000000000c0361a2,好的！ 谢谢 你们[飞吻R]
1624,奶油米,64d0a48a000000000c0361a2,还好有问楼主哦。 不然还真的傻傻等grab [笑哭R]
1625,芋圆芋泥小蛋糕,64d0a48a000000000c0361a2,indrive 比grab 便宜！
1626,乐乐😊,64d0a48a000000000c0361a2,从曼谷到郑王庙吗？
1627,带我去玩🌷,64d0a48a000000000c0361a2,不需要哦 我是直接去 人手很多 很快[赞R]
1628,xy,64d0a48a000000000c0361a2,@从此吼吼吼🐧 @𝑱𝒂𝒏𝒆💗 拍这家啦这家便宜[笑哭R]
1629,从此吼吼吼🐧,64d0a48a000000000c0361a2,博主也是没有请摄影师拍哦 自己手机拍就可以了
1630,xy,64d0a48a000000000c0361a2,是哦有时候会拍翻车lei
1631,带我去玩🌷,64d0a48a000000000c0361a2,没有哦[害羞R]
1632,海棠糖糖 . 💜,64d0a48a000000000c0361a2,好滴 谢谢[飞吻R]
1633,xy,64d0a48a000000000c0361a2,想请问他们有提供化妆服务吗[哭惹R]
1634,带我去玩🌷,64d0a48a000000000c0361a2,应该是ok shop 不确定~ 跟着图里说的就能找到了
1635,依依,64d0a48a000000000c0361a2,好的 谢谢你
1636,带我去玩🌷,64d0a48a000000000c0361a2,不客气[偷笑R]
1637,带我去玩🌷,64d0a48a000000000c0361a2,好看~[害羞R]
1638,带我去玩🌷,64d0a48a000000000c0361a2,男朋友厉害拍！颜色也好看[偷笑R]
1639,带我去玩🌷,64d0a48a000000000c0361a2,有机会 可以调节的[偷笑R]
1640,娜娜🐟（看Bio别看ID）,64d0a48a000000000c0361a2,好的 谢谢小姐姐[哇R][哇R][哇R]
1641,小姐姐🤭,64d0a48a000000000c0361a2,都不需要提前预约的对吗 去到那边再租也可以是吗
1642,good luck,64d0a48a000000000c0361a2,一个人去的话 拍照时钱包怎么办啊？
1643,只想减肥的小仙女🌸,64d0a48a000000000c0361a2,@小毛
1644,fish🤫fish🤫,64d0a48a000000000c0361a2,请问他们家有包化妆吗？
1645,这都2024年了,64d0a48a000000000c0361a2,有没有当地摄影师推荐？联系方式
1646,乐乐😊,64d0a48a000000000c0361a2,曼谷去郑王庙打车🚗多少钱？
1647,盈（等待中）,64d0a48a000000000c0361a2,有包括化妆吗？
1648,饭饭粥粥泰国校服,64d0a48a000000000c0361a2,拍了泰服，为什么不拍一组泰国校服呀，美到爆
1649,Ho Yan,64d0a48a000000000c0361a2,還泰服後，到碼頭坐船需要再付鄭皇廟入場費嗎？
1650,觅谧🌻,64d0a48a000000000c0361a2,请问他们家有提供化妆服务吗[皱眉R]
